time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
319985681	1.0900	1.5854	1.0887
319985881	1.1492	1.4745	1.1443
319986081	1.2218	1.3720	1.2168
319986281	1.3064	1.2796	1.2999
319986481	1.4022	1.1983	1.3982
319986681	1.5075	1.1297	1.5021
319986881	1.6206	1.0748	1.6149
319987081	1.7392	1.0346	1.7286
319987281	1.8624	1.0095	1.8551
319987481	1.9877	1.0001	1.9840
319987681	2.1133	1.0064	2.1130
319987881	2.2365	1.0284	2.2242
319988081	2.3566	1.0657	2.3555
319988281	2.4709	1.1178	2.4684
319988481	2.5779	1.1839	2.5699
319988681	2.6753	1.2625	2.6593
319988881	2.7625	1.3530	2.7585
319989081	2.8377	1.4538	2.8350
319989281	2.8996	1.5632	2.8624
319989481	2.9471	1.6790	2.9358
319989681	2.9799	1.8004	2.9720
319989881	2.9972	1.9249	2.9865
319990081	2.9987	2.0511	2.9897
319990281	2.9845	2.1755	2.9438
319990481	2.9547	2.2976	2.9527
319990681	2.9098	2.4150	2.8914
319990881	2.8508	2.5255	2.8423
319991081	2.7782	2.6280	2.7722
319991281	2.6932	2.7207	2.6867
319991481	2.5973	2.8020	2.5876
319991681	2.4925	2.8703	2.4885
319991881	2.3794	2.9252	2.3813
319992081	2.2603	2.9655	2.2572
319992281	2.1371	2.9906	2.1299
319992481	2.0123	2.9999	2.0034
319992681	1.8867	2.9936	1.8833
319992881	1.7630	2.9715	1.7536
319993081	1.6430	2.9341	1.6391
319993281	1.5291	2.8822	1.5223
319993481	1.4221	2.8161	1.4215
319993681	1.3243	2.7372	1.3240
319993881	1.2371	2.6466	1.2338
319994081	1.1623	2.5462	1.1492
319994281	1.1004	2.4368	1.0968
319994481	1.0527	2.3205	1.0492
319994681	1.0200	2.1991	1.0162
319994881	1.0028	2.0751	0.9936
319995081	1.0013	1.9494	0.9912
319995281	1.0155	1.8245	1.0114
319995481	1.0453	1.7024	1.0202
319995681	1.0900	1.5854	1.0871
319995881	1.1492	1.4745	1.1435
319996081	1.2218	1.3720	1.2185
319996281	1.3064	1.2796	1.3015
319996481	1.4022	1.1983	1.4006
319996681	1.5075	1.1297	1.5005
319996881	1.6206	1.0748	1.6174
319997081	1.7392	1.0346	1.7286
319997281	1.8624	1.0095	1.8535
319997481	1.9877	1.0001	1.9816
319997681	2.1133	1.0064	2.1097
319997881	2.2365	1.0284	2.2234
319998081	2.3566	1.0657	2.3555
319998281	2.4709	1.1178	2.4659
319998481	2.5779	1.1839	2.5651
319998681	2.6753	1.2625	2.6674
319998881	2.7625	1.3530	2.7536
319999081	2.8377	1.4538	2.8310
319999281	2.8996	1.5632	2.8922
319999481	2.9471	1.6790	2.9446
319999681	2.9799	1.8004	2.9720
319999881	2.9972	1.9249	2.9897
320000081	2.9987	2.0511	2.9905
320000281	2.9845	2.1755	2.9728
320000481	2.9547	2.2976	2.9446
320000681	2.9098	2.4150	2.9084
320000881	2.8508	2.5255	2.8487
320001081	2.7782	2.6280	2.7722
320001281	2.6932	2.7207	2.6811
320001481	2.5973	2.8020	2.5876
320001681	2.4925	2.8703	2.4812
320001881	2.3794	2.9252	2.3668
320002081	2.2603	2.9655	2.2548
320002281	2.1371	2.9906	2.1331
320002481	2.0123	2.9999	2.0034
320002681	1.8867	2.9936	1.8793
320002881	1.7630	2.9715	1.7584
320003081	1.6430	2.9341	1.6343
320003281	1.5291	2.8822	1.5199
320003481	1.4221	2.8161	1.4143
320003681	1.3243	2.7372	1.3216
320003881	1.2371	2.6466	1.2354
320004081	1.1623	2.5462	1.1548
320004281	1.1004	2.4368	1.0919
320004481	1.0527	2.3205	1.0105
320004681	1.0200	2.1991	1.0154
320004881	1.0028	2.0751	0.9985
320005081	1.0013	1.9494	0.9872
320005281	1.0155	1.8245	1.0081
320005481	1.0453	1.7024	1.0396
320005681	1.0900	1.5854	1.0839
320005881	1.1492	1.4745	1.1459
320006081	1.2218	1.3720	1.2160
320006281	1.3064	1.2796	1.2999
320006481	1.4022	1.1983	1.3966
320006681	1.5075	1.1297	1.5053
320006881	1.6206	1.0748	1.6109
320007081	1.7392	1.0346	1.7326
320007281	1.8624	1.0095	1.8511
320007481	1.9877	1.0001	1.9848
320007681	2.1133	1.0064	2.0985
320007881	2.2365	1.0284	2.2355
320008081	2.3566	1.0657	2.3523
320008281	2.4709	1.1178	2.4611
320008481	2.5779	1.1839	2.5699
320008681	2.6753	1.2625	2.6601
320008881	2.7625	1.3530	2.7512
320009081	2.8377	1.4538	2.8278
320009281	2.8996	1.5632	2.8745
320009481	2.9471	1.6790	2.9438
320009681	2.9799	1.8004	2.9696
320009881	2.9972	1.9249	2.9905
320010081	2.9987	2.0511	2.9889
320010281	2.9845	2.1755	2.9752
320010481	2.9547	2.2976	2.9406
320010681	2.9098	2.4150	2.9059
320010881	2.8508	2.5255	2.8447
320011081	2.7782	2.6280	2.7746
320011281	2.6932	2.7207	2.6892
320011481	2.5973	2.8020	2.5812
320011681	2.4925	2.8703	2.4837
320011881	2.3794	2.9252	2.3749
320012081	2.2603	2.9655	2.2572
320012281	2.1371	2.9906	2.1388
320012481	2.0123	2.9999	2.0018
320012681	1.8867	2.9936	1.8793
320012881	1.7630	2.9715	1.7560
320013081	1.6430	2.9341	1.6367
320013281	1.5291	2.8822	1.5255
320013481	1.4221	2.8161	1.4151
320013681	1.3243	2.7372	1.3176
320013881	1.2371	2.6466	1.2346
320014081	1.1623	2.5462	1.1588
320014281	1.1004	2.4368	1.0758
320014481	1.0527	2.3205	1.0484
320014681	1.0200	2.1991	1.0146
320014881	1.0028	2.0751	0.9952
320015081	1.0013	1.9494	0.9920
320015281	1.0155	1.8245	1.0114
320015481	1.0453	1.7024	1.0363
320015681	1.0900	1.5854	1.0863
320015881	1.1492	1.4745	1.1443
320016081	1.2218	1.3720	1.2177
320016281	1.3064	1.2796	1.3063
320016481	1.4022	1.1983	1.3958
320016681	1.5075	1.1297	1.4989
320016881	1.6206	1.0748	1.6149
320017081	1.7392	1.0346	1.7358
320017281	1.8624	1.0095	1.8535
320017481	1.9877	1.0001	1.9848
320017681	2.1133	1.0064	2.1130
320017881	2.2365	1.0284	2.2314
320018081	2.3566	1.0657	2.3531
320018281	2.4709	1.1178	2.4627
320018481	2.5779	1.1839	2.5626
320018681	2.6753	1.2625	2.6545
320018881	2.7625	1.3530	2.7577
320019081	2.8377	1.4538	2.8294
320019281	2.8996	1.5632	2.8930
320019481	2.9471	1.6790	2.9438
320019681	2.9799	1.8004	2.9744
320019881	2.9972	1.9249	2.9962
320020081	2.9987	2.0511	2.9583
320020281	2.9845	2.1755	2.9696
320020481	2.9547	2.2976	2.9486
320020681	2.9098	2.4150	2.9011
320020881	2.8508	2.5255	2.8503
320021081	2.7782	2.6280	2.7665
320021281	2.6932	2.7207	2.6755
320021481	2.5973	2.8020	2.5933
320021681	2.4925	2.8703	2.4893
320021881	2.3794	2.9252	2.3684
320022081	2.2603	2.9655	2.2484
320022281	2.1371	2.9906	2.1299
320022481	2.0123	2.9999	2.0066
320022681	1.8867	2.9936	1.8801
320022881	1.7630	2.9715	1.7423
