time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
269380822	3.0000	2.4993	3.0204
269381022	2.9961	2.5623	3.0204
269381222	2.9844	2.6240	3.0091
269381422	2.9650	2.6837	2.9865
269381622	2.9383	2.7406	2.9591
269381822	2.9047	2.7936	2.9285
269382022	2.8647	2.8420	2.8834
269382222	2.8190	2.8850	2.8431
269382422	2.7682	2.9220	2.7915
269382622	2.7132	2.9523	2.7351
269382822	2.6548	2.9754	2.6722
269383022	2.5940	2.9911	2.6158
269383222	2.5317	2.9990	2.5497
269383422	2.4690	2.9990	2.4933
269383622	2.4067	2.9912	2.4273
269383822	2.3458	2.9756	2.3644
269384022	2.2874	2.9526	2.3096
269384222	2.2324	2.9224	2.2500
269384422	2.1816	2.8855	2.2016
269384622	2.1358	2.8425	2.1500
269384822	2.0957	2.7942	2.1146
269385022	2.0620	2.7412	2.0775
269385222	2.0352	2.6844	2.0533
269385422	2.0158	2.6247	2.0340
269385622	2.0040	2.5630	2.0211
269385822	2.0000	2.5003	2.0147
269386022	2.0039	2.4377	2.0179
269386222	2.0156	2.3760	2.0308
269386422	2.0350	2.3163	2.0517
269386622	2.0617	2.2594	2.0791
269386822	2.0953	2.2064	2.1146
269387022	2.1350	2.1582	2.1565
269387222	2.1808	2.1152	2.1968
269387422	2.2315	2.0782	2.2548
269387622	2.2865	2.0479	2.3080
269387822	2.3448	2.0247	2.3628
269388022	2.4056	2.0090	2.4224
269388222	2.4679	2.0010	2.4869
269388422	2.5307	2.0009	2.5497
269388622	2.5930	2.0087	2.6190
269388822	2.6538	2.0243	2.6722
269389022	2.7123	2.0473	2.7303
269389222	2.7673	2.0775	2.7883
269389422	2.8182	2.1143	2.8415
269389622	2.8640	2.1572	2.8834
269389822	2.9041	2.2055	2.9301
269390022	2.9378	2.2585	2.9607
269390222	2.9646	2.3153	2.9833
269390422	2.9841	2.3750	3.0107
269390622	2.9960	2.4366	3.0171
269390822	3.0000	2.4993	3.0236
269391022	2.9961	2.5623	3.0171
269391222	2.9844	2.6240	3.0075
269391422	2.9650	2.6837	2.9849
269391622	2.9383	2.7406	2.9591
269391822	2.9047	2.7936	2.9204
269392022	2.8647	2.8420	2.8785
269392222	2.8190	2.8850	2.8366
269392422	2.7682	2.9220	2.7867
269392622	2.7132	2.9523	2.7383
269392822	2.6548	2.9754	2.6771
269393022	2.5940	2.9911	2.6110
269393222	2.5317	2.9990	2.5546
269393422	2.4690	2.9990	2.4917
269393622	2.4067	2.9912	2.4192
269393822	2.3458	2.9756	2.3644
269394022	2.2874	2.9526	2.2999
269394222	2.2324	2.9224	2.2467
269394422	2.1816	2.8855	2.2032
269394622	2.1358	2.8425	2.1500
269394822	2.0957	2.7942	2.1114
269395022	2.0620	2.7412	2.0759
269395222	2.0352	2.6844	2.0549
269395422	2.0158	2.6247	2.0356
269395622	2.0040	2.5630	2.0179
269395822	2.0000	2.5003	2.0195
269396022	2.0039	2.4377	2.0163
269396222	2.0156	2.3760	2.0308
269396422	2.0350	2.3163	2.0549
269396622	2.0617	2.2594	2.0743
269396822	2.0953	2.2064	2.1097
269397022	2.1350	2.1582	2.1533
269397222	2.1808	2.1152	2.2032
269397422	2.2315	2.0782	2.2467
269397622	2.2865	2.0479	2.3064
269397822	2.3448	2.0247	2.3628
269398022	2.4056	2.0090	2.4240
269398222	2.4679	2.0010	2.4917
269398422	2.5307	2.0009	2.5514
269398622	2.5930	2.0087	2.6158
269398822	2.6538	2.0243	2.6738
269399022	2.7123	2.0473	2.7367
269399222	2.7673	2.0775	2.7899
269399422	2.8182	2.1143	2.8431
269399622	2.8640	2.1572	2.8850
269399822	2.9041	2.2055	2.9301
269400022	2.9378	2.2585	2.9591
269400222	2.9646	2.3153	2.9881
269400422	2.9841	2.3750	3.0042
269400622	2.9960	2.4366	3.0220
269400822	3.0000	2.4993	3.0220
269401022	2.9961	2.5623	3.0188
269401222	2.9844	2.6240	3.0075
269401422	2.9650	2.6837	2.9849
269401622	2.9383	2.7406	2.9607
269401822	2.9047	2.7936	2.9237
269402022	2.8647	2.8420	2.8850
269402222	2.8190	2.8850	2.8382
269402422	2.7682	2.9220	2.7867
269402622	2.7132	2.9523	2.7335
269402822	2.6548	2.9754	2.6771
269403022	2.5940	2.9911	2.6110
269403222	2.5317	2.9990	2.5497
269403422	2.4690	2.9990	2.4901
269403622	2.4067	2.9912	2.4240
269403822	2.3458	2.9756	2.3660
269404022	2.2874	2.9526	2.3032
269404222	2.2324	2.9224	2.2500
269404422	2.1816	2.8855	2.1968
269404622	2.1358	2.8425	2.1484
269404822	2.0957	2.7942	2.1130
269405022	2.0620	2.7412	2.0791
269405222	2.0352	2.6844	2.0501
269405422	2.0158	2.6247	2.0292
269405622	2.0040	2.5630	2.0227
269405822	2.0000	2.5003	2.0130
269406022	2.0039	2.4377	2.0227
269406222	2.0156	2.3760	2.0292
269406422	2.0350	2.3163	2.0501
269406622	2.0617	2.2594	2.0823
269406822	2.0953	2.2064	2.1130
269407022	2.1350	2.1582	2.1549
269407222	2.1808	2.1152	2.2016
269407422	2.2315	2.0782	2.2516
269407622	2.2865	2.0479	2.3048
269407822	2.3448	2.0247	2.3628
269408022	2.4056	2.0090	2.4256
269408222	2.4679	2.0010	2.4837
269408422	2.5307	2.0009	2.5514
269408622	2.5930	2.0087	2.6110
269408822	2.6538	2.0243	2.6706
269409022	2.7123	2.0473	2.7367
269409222	2.7673	2.0775	2.7834
269409422	2.8182	2.1143	2.8447
269409622	2.8640	2.1572	2.8898
269409822	2.9041	2.2055	2.9221
269410022	2.9378	2.2585	2.9623
269410222	2.9646	2.3153	2.9865
269410422	2.9841	2.3750	3.0042
269410622	2.9960	2.4366	3.0188
269410822	3.0000	2.4993	3.0252
269411022	2.9961	2.5623	3.0204
269411222	2.9844	2.6240	3.0059
269411422	2.9650	2.6837	2.9897
269411622	2.9383	2.7406	2.9607
269411822	2.9047	2.7936	2.9221
269412022	2.8647	2.8420	2.8898
269412222	2.8190	2.8850	2.8399
269412422	2.7682	2.9220	2.7899
269412622	2.7132	2.9523	2.7367
269412822	2.6548	2.9754	2.6722
269413022	2.5940	2.9911	2.6110
269413222	2.5317	2.9990	2.5546
269413422	2.4690	2.9990	2.4917
269413622	2.4067	2.9912	2.4289
269413822	2.3458	2.9756	2.3628
269414022	2.2874	2.9526	2.3032
269414222	2.2324	2.9224	2.2451
269414422	2.1816	2.8855	2.1952
269414622	2.1358	2.8425	2.1533
269414822	2.0957	2.7942	2.1130
269415022	2.0620	2.7412	2.0791
269415222	2.0352	2.6844	2.0549
269415422	2.0158	2.6247	2.0356
269415622	2.0040	2.5630	2.0179
269415822	2.0000	2.5003	2.0211
269416022	2.0039	2.4377	2.0243
269416222	2.0156	2.3760	2.0292
269416422	2.0350	2.3163	2.0517
269416622	2.0617	2.2594	2.0807
269416822	2.0953	2.2064	2.1130
269417022	2.1350	2.1582	2.1516
269417222	2.1808	2.1152	2.1936
269417422	2.2315	2.0782	2.2484
269417622	2.2865	2.0479	2.3112
269417822	2.3448	2.0247	2.3660
269418022	2.4056	2.0090	2.4289
269418222	2.4679	2.0010	2.4933
269418422	2.5307	2.0009	2.5465
269418622	2.5930	2.0087	2.6174
269418822	2.6538	2.0243	2.6738
269419022	2.7123	2.0473	2.7335
269419222	2.7673	2.0775	2.7867
269419422	2.8182	2.1143	2.8415
269419622	2.8640	2.1572	2.8898
269419822	2.9041	2.2055	2.9237
269420022	2.9378	2.2585	2.9591
269420222	2.9646	2.3153	2.9833
269420422	2.9841	2.3750	3.0010
269420622	2.9960	2.4366	3.0204
269420822	3.0000	2.4993	3.0268
269421022	2.9961	2.5623	3.0155
269421222	2.9844	2.6240	3.0042
269421422	2.9650	2.6837	2.9833
269421622	2.9383	2.7406	2.9607
269421822	2.9047	2.7936	2.9285
269422022	2.8647	2.8420	2.8898
269422222	2.8190	2.8850	2.8382
269422422	2.7682	2.9220	2.7867
269422622	2.7132	2.9523	2.7335
269422822	2.6548	2.9754	2.6738
269423022	2.5940	2.9911	2.6142
269423222	2.5317	2.9990	2.5497
269423422	2.4690	2.9990	2.4885
269423622	2.4067	2.9912	2.4305
269423822	2.3458	2.9756	2.3644
269424022	2.2874	2.9526	2.3048
269424222	2.2324	2.9224	2.2467
