time[us]	ref_X[V]	ref_Y[V]	sig_I[V]	sig_I_BS[V]	mix_X[V]	mix_Y[V]	X[V]	Y[V]	R[V]	T[deg]
4294965051	3.06453	1.32926	3.06297	1.36337	1.86036	-0.50545	0.99982	-0.00025	0.99982	-0.0144
4294965451	3.11390	1.71678	3.11587	1.41624	2.00242	0.02377	0.99987	0.00002	0.99987	0.0013
4294965651	3.09810	1.91144	3.09824	1.39859	1.95537	0.29572	0.99990	0.00017	0.99990	0.0099
4294965851	3.05563	2.10207	3.05496	1.35529	1.83727	0.54492	0.99992	0.00033	0.99992	0.0189
4294966051	2.98730	2.28503	2.98763	1.28795	1.65797	0.75349	0.99994	0.00049	0.99994	0.0280
4294966252	2.89441	2.45683	2.89465	1.19496	1.42727	0.90437	0.99995	0.00065	0.99995	0.0373
4294966451	2.77809	2.61494	2.77763	1.07792	1.16210	0.98623	0.99996	0.00081	0.99996	0.0464
4294966651	2.64248	2.75410	2.64298	0.94326	0.88900	0.99429	0.99995	0.00096	0.99995	0.0551
4294966851	2.48824	2.87391	2.49069	0.79096	0.62346	0.92851	0.99994	0.00111	0.99994	0.0633
4294967051	2.31897	2.97133	2.32077	0.62102	0.38440	0.78953	0.99992	0.00123	0.99992	0.0707
4294967251	2.13789	3.04449	2.13803	0.43827	0.19191	0.58925	0.99989	0.00135	0.99989	0.0771
155	1.94845	3.09200	1.95048	0.25071	0.06229	0.34899	0.99985	0.00144	0.99985	0.0823
355	1.75428	3.11296	1.75651	0.05674	0.00308	0.08016	0.99981	0.00150	0.99981	0.0860
555	1.55907	3.10696	1.56255	-0.13724	0.01934	-0.19309	0.99976	0.00154	0.99976	0.0880
755	1.36655	3.07412	1.36537	-0.33441	0.11151	-0.45952	0.99971	0.00154	0.99971	0.0883
955	1.18039	3.01507	1.17942	-0.52037	0.27039	-0.68432	0.99966	0.00151	0.99966	0.0867
1155	1.00414	2.93093	1.00790	-0.69189	0.48146	-0.85166	0.99961	0.00145	0.99961	0.0831
1355	0.84117	2.82330	0.84119	-0.85860	0.73739	-0.96447	0.99956	0.00135	0.99956	0.0776
1555	0.69458	2.69425	0.69371	-1.00608	1.01153	-1.00029	0.99952	0.00122	0.99952	0.0702
1755	0.56717	2.54623	0.56707	-1.13272	1.28317	-0.95854	0.99948	0.00106	0.99948	0.0610
1955	0.46138	2.38206	0.46127	-1.23851	1.53405	-0.84474	0.99944	0.00088	0.99944	0.0503
2155	0.37921	2.20489	0.37952	-1.32026	1.74378	-0.66658	0.99941	0.00067	0.99941	0.0384
2355	0.32224	2.01808	0.32341	-1.37636	1.89629	-0.43779	0.99939	0.00044	0.99939	0.0254
2555	0.29155	1.82520	0.29135	-1.40841	1.98367	-0.17634	0.99937	0.00021	0.99937	0.0118
2755	0.28774	1.62994	0.28654	-1.41321	1.99583	0.09901	0.99936	-0.00003	0.99936	-0.0020
2955	0.31068	1.43698	0.31219	-1.38755	1.92776	0.36495	0.99936	-0.00027	0.99936	-0.0156
3156	0.36017	1.24806	0.36189	-1.33785	1.79249	0.60463	0.99936	-0.00050	0.99936	-0.0287
3355	0.43567	1.06687	0.43562	-1.26410	1.59824	0.80034	0.99937	-0.00071	0.99937	-0.0408
3555	0.53441	0.89951	0.53501	-1.16470	1.35757	0.93233	0.99938	-0.00090	0.99938	-0.0516
3755	0.65582	0.74654	0.65684	-1.04286	1.08893	0.99433	0.99939	-0.00106	0.99939	-0.0608
3956	0.79716	0.61175	0.79630	-0.90339	0.81561	0.98311	0.99941	-0.00119	0.99941	-0.0681
4155	0.95656	0.49721	0.95660	-0.74307	0.55243	0.89376	0.99943	-0.00128	0.99943	-0.0733
4355	1.12848	0.40665	1.12813	-0.57154	0.32664	0.73920	0.99946	-0.00133	0.99946	-0.0763
4556	1.31215	0.34023	1.31248	-0.38718	0.15017	0.52647	0.99949	-0.00134	0.99949	-0.0771
4755	1.50419	0.29962	1.50484	-0.19481	0.03815	0.27280	0.99952	-0.00132	0.99952	-0.0757
4955	1.69803	0.28600	1.70041	0.00077	-0.00000	-0.00109	0.99956	-0.00126	0.99956	-0.0722
5155	1.89288	0.29922	1.89277	0.19315	0.03725	-0.27056	0.99960	-0.00117	0.99960	-0.0669
5355	2.08405	0.33916	2.08673	0.38712	0.14868	-0.52681	0.99964	-0.00105	0.99964	-0.0600
5555	2.26790	0.40505	2.26948	0.56987	0.32363	-0.73796	0.99969	-0.00090	0.99969	-0.0518
5755	2.44092	0.49566	2.44100	0.74141	0.54932	-0.89291	0.99974	-0.00074	0.99974	-0.0426
5955	2.59980	0.60924	2.59970	0.90011	0.80992	-0.98181	0.99979	-0.00057	0.99979	-0.0328
6155	2.74151	0.74362	2.74076	1.04118	1.08440	-0.99576	0.99985	-0.00040	0.99985	-0.0227
6355	2.86335	0.89626	2.86259	1.16302	1.35300	-0.93477	0.99990	-0.00022	0.99990	-0.0128
6555	2.96301	1.06422	2.96358	1.26401	1.59646	-0.80363	0.99995	-0.00006	0.99995	-0.0033
