Module,Renderer,ApiVersion,Width,Height,Fullscreen,AntiAliasing,AvgFPS,Duration,MaxGpuTemp,Score
TessMark (X16/X16),GeForce GTX 660/PCIe/SSE2,4.4.0,1280,720,NO,Off,955,60000,0,57327
FurMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,194,5000,0,976
Plot3D,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1158,5000,0,5786
Triangle,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,8351,5000,0,41760
PixMark JuliaFP32,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1772,5000,0,8976
FurMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,186,5000,0,936
GiMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,111,5000,0,556
PixMark JuliaFP32,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1798,5000,0,9080
Plot3D,GeForce GTX TITAN/PCIe/SSE2,4.4.0,800,600,NO,4X MSAA,1138,5000,0,5676
PixMark JuliaFP32,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1777,5000,0,8973
PixMark JuliaFP32,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1776,5000,0,8959
TessMark (X16/X16),GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1868,5000,0,9321
TessMark (X8/X8),GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,2788,5000,0,13909
TessMark (X8/X8),GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,2864,5000,0,14285
PixMark JuliaFP64,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,165,5000,0,841
FurMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,187,5000,0,939
TessMark (X16/X16),GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1810,5000,0,9024
Plot3D,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1057,5000,0,5286
GiMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,108,5000,0,540
Triangle,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,7409,5000,0,37031
Triangle,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,8082,5000,0,40411
PixMark JuliaFP32,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1824,5000,0,9200
GiMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,119,5000,0,597
TessMark (X16/X16),GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1967,5000,0,9813
FurMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,195,5000,0,980
FurMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,195,5000,0,980
TessMark (X16/X16),GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1959,5000,0,9771
FurMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,195,5000,0,981
Plot3D,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1163,5000,0,5806
TessMark X32,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1029,60000,0,61731
Triangle,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,7956,60000,0,477280
Triangle,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,6987,5000,0,34843
TessMark X16,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1913,60000,0,114687
GiMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,117,60000,0,7074
TessMark X16,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,1859,60000,0,111426
GiMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,106,60000,0,6403
FurMark,GeForce GTX TITAN/PCIe/SSE2,4.4.0,1024,640,NO,Off,193,60000,0,11629
