N = 10000

------ list, list

conv_sp_basic   (ls, ls): 3.2 ms
conv_np_basic   (ls, ls): 3.2 ms

------ deque, numpy

conv_sp_basic   (dq, np): 4.5 ms
conv_np_basic   (dq, np): 4.4 ms
conv_sp_a_list  (dq, np): 4.2 ms
conv_np_a_list  (dq, np): 4.1 ms  <--- top pick
conv_sp_a_nparr (dq, np): 4.6 ms
conv_np_a_nparr (dq, np): 4.6 ms
conv_sp_all_list(dq, np): 5.6 ms
conv_np_all_list(dq, np): 5.5 ms

------ deque, list

conv_sp_basic   (dq, ls): 5.2 ms
conv_np_basic   (dq, ls): 5.2 ms
conv_sp_a_list  (dq, ls): 4.9 ms
conv_np_a_list  (dq, ls): 4.9 ms
